frame,speed_px_s,speed_kmh,speed_mph,center_x,center_y
210,0.0,0.0,0.0,251.0,1007.0
211,0.0,0.0,0.0,251.0,1007.0
212,0.0,0.0,0.0,251.0,1007.0
213,0.0,0.0,0.0,251.0,1007.0
214,0.0,0.0,0.0,251.0,1007.0
215,0.0,0.0,0.0,251.0,1007.0
216,0.0,0.0,0.0,251.0,1007.0
217,0.0,0.0,0.0,251.0,1007.0
218,0.0,0.0,0.0,251.0,1007.0
219,0.0,0.0,0.0,251.0,1007.0
220,0.0,0.0,0.0,251.0,1007.0
221,0.0,0.0,0.0,251.0,1007.0
222,0.0,0.0,0.0,251.0,1007.0
223,0.0,0.0,0.0,251.0,1007.0
224,0.0,0.0,0.0,251.0,1007.0
225,0.0,0.0,0.0,251.0,1007.0
226,0.0,0.0,0.0,251.0,1007.0
227,0.0,0.0,0.0,251.0,1007.0
228,0.0,0.0,0.0,251.0,1007.0
229,0.0,0.0,0.0,251.0,1007.0
230,0.0,0.0,0.0,251.0,1007.0
231,0.0,0.0,0.0,251.0,1007.0
232,0.0,0.0,0.0,251.0,1007.0
233,0.0,0.0,0.0,251.0,1007.0
234,0.0,0.0,0.0,251.0,1007.0
235,0.0,0.0,0.0,251.0,1007.0
236,0.0,0.0,0.0,251.0,1007.0
237,0.0,0.0,0.0,251.0,1007.0
238,0.0,0.0,0.0,251.0,1007.0
239,0.0,0.0,0.0,251.0,1007.0
240,0.0,0.0,0.0,251.0,1007.0
241,0.0,0.0,0.0,251.0,1007.0
242,0.0,0.0,0.0,251.0,1007.0
243,0.0,0.0,0.0,251.0,1007.0
244,0.0,0.0,0.0,251.0,1007.0
245,0.0,0.0,0.0,251.0,1007.0
246,0.0,0.0,0.0,251.0,1007.0
247,0.0,0.0,0.0,251.0,1007.0
248,0.0,0.0,0.0,251.0,1007.0
249,0.0,0.0,0.0,251.0,1007.0
250,0.0,0.0,0.0,251.0,1007.0
251,0.0,0.0,0.0,251.0,1007.0
252,0.0,0.0,0.0,251.0,1007.0
253,0.0,0.0,0.0,251.0,1007.0
254,0.0,0.0,0.0,251.0,1007.0
